"","s.name","r.name","r.type","norm","threshold","seqnames","strand","start","end","width","tel.length","chr.end"
"86","cen-pk","SRR13577846.103512","nl","normalized","36-38","ref|NC_001134|","-",1,7614,7614,0.54,"3'"
"87","cen-pk","SRR13577846.103576","nl","normalized","36-38","ref|NC_001140|","+",20,7530,7511,0.466,"5'"
"88","cen-pk","SRR13577846.103601","nl","normalized","36-38","ref|NC_001136|","-",1524246,1531931,7686,0.542,"5'"
"89","cen-pk","SRR13577846.103686","nl","normalized","36-38","ref|NC_001136|","-",162,8230,8069,0.377,"3'"
"90","cen-pk","SRR13577846.10374","nl","normalized","36-38","ref|NC_001136|","+",172,11906,11735,0.412,"5'"
"91","cen-pk","SRR13577846.103756","nl","normalized","36-38","ref|NC_001142|","-",736943,745645,8703,0.854,"5'"
"92","cen-pk","SRR13577846.103759","nl","normalized","36-38","ref|NC_001134|","-",1,7764,7764,1.23,"3'"
"93","cen-pk","SRR13577846.103805","nl","normalized","36-38","ref|NC_001140|","+",554526,562387,7862,0.688,"3'"
"94","cen-pk","SRR13577846.103851","nl","normalized","36-38","ref|NC_001136|","+",1524030,1531931,7902,0.692,"3'"
"95","cen-pk","SRR13577846.103886","nl","normalized","36-38","ref|NC_001146|","+",1,7588,7588,0.73,"5'"
"96","cen-pk","SRR13577846.103925","nl","normalized","36-38","ref|NC_001140|","-",60,7530,7471,0.481,"3'"
"97","cen-pk","SRR13577846.103929","nl","normalized","36-38","ref|NC_001146|","+",1,8130,8130,0.554,"5'"
"98","cen-pk","SRR13577846.103940","nl","normalized","36-38","ref|NC_001148|","+",938038,948066,10029,0.556,"3'"
"99","cen-pk","SRR13577846.103943","nl","normalized","36-38","ref|NC_001142|","-",737027,745656,8630,0.654,"5'"
"100","cen-pk","SRR13577846.103955","nl","normalized","36-38","ref|NC_001134|","+",1,6659,6659,0.66,"5'"
"101","cen-pk","SRR13577846.103963","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.753,"3'"
"102","cen-pk","SRR13577846.103966","nl","normalized","36-38","ref|NC_001142|","-",735514,745613,10100,0.812,"5'"
"103","cen-pk","SRR13577846.103974","nl","normalized","36-38","ref|NC_001147|","+",1080104,1091249,11146,0.71,"3'"
"104","cen-pk","SRR13577846.104043","nl","normalized","36-38","ref|NC_001144|","+",1062545,1071627,9083,0.63,"3'"
"105","cen-pk","SRR13577846.104053","nl","normalized","36-38","ref|NC_001144|","+",1071231,1078177,6947,0.827,"3'"
"106","cen-pk","SRR13577846.104180","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.672,"5'"
"107","cen-pk","SRR13577846.104219","nl","normalized","36-38","ref|NC_001142|","+",736013,745640,9628,0.697,"3'"
"108","cen-pk","SRR13577846.104220","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.487,"3'"
"109","cen-pk","SRR13577846.10426","nl","normalized","36-38","ref|NC_001144|","+",1067709,1078177,10469,1.252,"3'"
"110","cen-pk","SRR13577846.104337","nl","normalized","36-38","ref|NC_001141|","+",119,8166,8048,0.63,"5'"
"111","cen-pk","SRR13577846.104350","nl","normalized","36-38","ref|NC_001138|","+",260601,270131,9531,0.491,"3'"
"112","cen-pk","SRR13577846.104369","nl","normalized","36-38","ref|NC_001140|","+",552657,562417,9761,0.645,"3'"
"113","cen-pk","SRR13577846.10438","nl","normalized","36-38","ref|NC_001142|","+",87,9019,8933,0.46,"5'"
"114","cen-pk","SRR13577846.104399","nl","normalized","36-38","ref|NC_001140|","-",552317,562393,10077,0.436,"5'"
"115","cen-pk","SRR13577846.104411","nl","normalized","36-38","ref|NC_001138|","+",259337,270119,10783,0.497,"3'"
"116","cen-pk","SRR13577846.104444","nl","normalized","36-38","ref|NC_001147|","-",1082702,1091249,8548,0.742,"5'"
"117","cen-pk","SRR13577846.104463","nl","normalized","36-38","ref|NC_001134|","-",804289,813132,8844,0.366,"5'"
"118","cen-pk","SRR13577846.104494","nl","normalized","36-38","ref|NC_001134|","+",1,7254,7254,1.054,"5'"
"119","cen-pk","SRR13577846.104547","nl","normalized","36-38","ref|NC_001146|","-",1,9033,9033,0.742,"3'"
"120","cen-pk","SRR13577846.104589","nl","normalized","36-38","ref|NC_001136|","-",1514507,1525334,10828,0.43,"5'"
"121","cen-pk","SRR13577846.104590","nl","normalized","36-38","ref|NC_001145|","-",5602,13272,7671,0.957,"3'"
"122","cen-pk","SRR13577846.104594","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.654,"5'"
"123","cen-pk","SRR13577846.104613","nl","normalized","36-38","ref|NC_001145|","-",5615,14302,8688,0.838,"3'"
"124","cen-pk","SRR13577846.104619","nl","normalized","36-38","ref|NC_001144|","+",16489,22897,6409,0.606,"5'"
"125","cen-pk","SRR13577846.104663","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.724,"3'"
"126","cen-pk","SRR13577846.10467","nl","normalized","36-38","ref|NC_001134|","-",1,8151,8151,0.363,"3'"
"127","cen-pk","SRR13577846.104704","nl","normalized","36-38","ref|NC_001145|","-",918301,924294,5994,0.348,"5'"
"128","cen-pk","SRR13577846.104734","nl","normalized","36-38","ref|NC_001144|","-",78,9131,9054,0.836,"3'"
"129","cen-pk","SRR13577846.104752","nl","normalized","36-38","ref|NC_001142|","+",146,9282,9137,0.536,"5'"
"130","cen-pk","SRR13577846.10477","nl","normalized","36-38","ref|NC_001140|","-",550850,556863,6014,0.224,"5'"
"131","cen-pk","SRR13577846.104774","nl","normalized","36-38","ref|NC_001141|","+",103,8166,8064,0.454,"5'"
"132","cen-pk","SRR13577846.104790","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.672,"5'"
"133","cen-pk","SRR13577846.10487","nl","normalized","36-38","ref|NC_001144|","+",1071050,1078177,7128,0.923,"3'"
"134","cen-pk","SRR13577846.104996","nl","normalized","36-38","ref|NC_001146|","-",1,9463,9463,0.972,"3'"
"135","cen-pk","SRR13577846.105041","nl","normalized","36-38","ref|NC_001144|","+",1070365,1078177,7813,0.755,"3'"
"136","cen-pk","SRR13577846.10517","nl","normalized","36-38","ref|NC_001134|","+",1,6659,6659,0.566,"5'"
"137","cen-pk","SRR13577846.105267","nl","normalized","36-38","ref|NC_001138|","-",1,5640,5640,0.508,"3'"
"138","cen-pk","SRR13577846.10529","nl","normalized","36-38","ref|NC_001140|","+",56,7530,7475,0.63,"5'"
"139","cen-pk","SRR13577846.105350","nl","normalized","36-38","ref|NC_001144|","+",1068103,1078177,10075,0.864,"3'"
"140","cen-pk","SRR13577846.105367","nl","normalized","36-38","ref|NC_001146|","-",1,7735,7735,0.579,"3'"
"141","cen-pk","SRR13577846.105450","nl","normalized","36-38","ref|NC_001138|","+",262447,270121,7675,0.379,"3'"
"142","cen-pk","SRR13577846.10546","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.566,"5'"
"143","cen-pk","SRR13577846.105465","nl","normalized","36-38","ref|NC_001146|","-",23,7478,7456,0.618,"3'"
"144","cen-pk","SRR13577846.105489","nl","normalized","36-38","ref|NC_001146|","+",1,8465,8465,0.56,"5'"
"145","cen-pk","SRR13577846.105571","nl","normalized","36-38","ref|NC_001138|","-",1,7064,7064,0.697,"3'"
"146","cen-pk","SRR13577846.105598","nl","normalized","36-38","ref|NC_001138|","+",1,10339,10339,0.748,"5'"
"147","cen-pk","SRR13577846.105600","nl","normalized","36-38","ref|NC_001144|","+",16489,25492,9004,0.518,"5'"
"148","cen-pk","SRR13577846.105632","nl","normalized","36-38","ref|NC_001144|","+",1070060,1078177,8118,0.892,"3'"
"149","cen-pk","SRR13577846.105707","nl","normalized","36-38","ref|NC_001144|","+",74,9327,9254,0.266,"5'"
"150","cen-pk","SRR13577846.105731","nl","normalized","36-38","ref|NC_001140|","+",553998,558619,4622,0.142,"3'"
"151","cen-pk","SRR13577846.105758","nl","normalized","36-38","ref|NC_001148|","+",939380,948066,8687,0.622,"3'"
"152","cen-pk","SRR13577846.105797","nl","normalized","36-38","ref|NC_001140|","-",554556,558619,4064,0.754,"5'"
"153","cen-pk","SRR13577846.105809","nl","normalized","36-38","ref|NC_001147|","+",1082035,1091267,9233,0.848,"3'"
"154","cen-pk","SRR13577846.105825","nl","normalized","36-38","ref|NC_001140|","+",553695,562463,8769,0.494,"3'"
"155","cen-pk","SRR13577846.10587","nl","normalized","36-38","ref|NC_001141|","-",132,8166,8035,0.529,"3'"
"156","cen-pk","SRR13577846.105871","nl","normalized","36-38","ref|NC_001147|","+",83,10865,10783,0.66,"5'"
"157","cen-pk","SRR13577846.105888","nl","normalized","36-38","ref|NC_001141|","+",93,8166,8074,0.536,"5'"
"158","cen-pk","SRR13577846.105890","nl","normalized","36-38","ref|NC_001141|","+",104,8166,8063,0.53,"5'"
"159","cen-pk","SRR13577846.105904","nl","normalized","36-38","ref|NC_001144|","+",1070129,1078177,8049,1.743,"3'"
"160","cen-pk","SRR13577846.105950","nl","normalized","36-38","ref|NC_001144|","-",72,9370,9299,0.607,"3'"
"161","cen-pk","SRR13577846.105966","nl","normalized","36-38","ref|NC_001138|","+",259054,270119,11066,1.096,"3'"
"162","cen-pk","SRR13577846.106141","nl","normalized","36-38","ref|NC_001140|","-",554408,562415,8008,0.836,"5'"
"163","cen-pk","SRR13577846.106227","nl","normalized","36-38","ref|NC_001144|","+",82,11106,11025,0.648,"5'"
"164","cen-pk","SRR13577846.106260","nl","normalized","36-38","ref|NC_001141|","+",112,8166,8055,0.53,"5'"
"165","cen-pk","SRR13577846.106302","nl","normalized","36-38","ref|NC_001142|","-",92,6931,6840,0.57,"3'"
"166","cen-pk","SRR13577846.106337","nl","normalized","36-38","ref|NC_001144|","+",1070756,1078177,7422,0.638,"3'"
"167","cen-pk","SRR13577846.106353","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.612,"5'"
"168","cen-pk","SRR13577846.106357","nl","normalized","36-38","ref|NC_001136|","-",1517520,1525334,7815,0.46,"5'"
"169","cen-pk","SRR13577846.106400","nl","normalized","36-38","ref|NC_001141|","-",104,8166,8063,0.47,"3'"
"170","cen-pk","SRR13577846.10645","nl","normalized","36-38","ref|NC_001142|","-",149,9991,9843,0.545,"3'"
"171","cen-pk","SRR13577846.106466","nl","normalized","36-38","ref|NC_001140|","-",553293,562449,9157,0.554,"5'"
"172","cen-pk","SRR13577846.106499","nl","normalized","36-38","ref|NC_001144|","+",1062081,1071639,9559,0.538,"3'"
"173","cen-pk","SRR13577846.106583","nl","normalized","36-38","ref|NC_001134|","+",1,6659,6659,0.566,"5'"
"174","cen-pk","SRR13577846.106612","nl","normalized","36-38","ref|NC_001134|","+",803681,813127,9447,0.658,"3'"
"175","cen-pk","SRR13577846.106614","nl","normalized","36-38","ref|NC_001141|","-",127,8166,8040,0.512,"3'"
"176","cen-pk","SRR13577846.106656","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.549,"3'"
"177","cen-pk","SRR13577846.106701","nl","normalized","36-38","ref|NC_001145|","-",5602,13471,7870,0.868,"3'"
"178","cen-pk","SRR13577846.106735","nl","normalized","36-38","ref|NC_001136|","-",1524122,1531931,7810,0.572,"5'"
"179","cen-pk","SRR13577846.106782","nl","normalized","36-38","ref|NC_001144|","-",1068668,1078177,9510,0.16,"5'"
"180","cen-pk","SRR13577846.106807","nl","normalized","36-38","ref|NC_001134|","+",805340,813122,7783,0.578,"3'"
"181","cen-pk","SRR13577846.106815","nl","normalized","36-38","ref|NC_001138|","-",1,9724,9724,0.583,"3'"
"182","cen-pk","SRR13577846.106926","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.865,"3'"
"183","cen-pk","SRR13577846.107042","nl","normalized","36-38","ref|NC_001144|","+",1070144,1078177,8034,0.78,"3'"
"184","cen-pk","SRR13577846.107052","nl","normalized","36-38","ref|NC_001144|","-",116,8815,8700,0.602,"3'"
"185","cen-pk","SRR13577846.107074","nl","normalized","36-38","ref|NC_001144|","+",109,9370,9262,0.93,"5'"
"186","cen-pk","SRR13577846.107095","nl","normalized","36-38","ref|NC_001134|","+",1,7876,7876,0.43,"5'"
"187","cen-pk","SRR13577846.107127","nl","normalized","36-38","ref|NC_001140|","+",556514,562437,5924,0.226,"3'"
"188","cen-pk","SRR13577846.107176","nl","normalized","36-38","ref|NC_001145|","-",69,5387,5319,0.635,"3'"
"189","cen-pk","SRR13577846.107185","nl","normalized","36-38","ref|NC_001135|","+",375,7811,7437,0.948,"5'"
"190","cen-pk","SRR13577846.107212","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.642,"5'"
"191","cen-pk","SRR13577846.107224","nl","normalized","36-38","ref|NC_001144|","+",98,9139,9042,0.736,"5'"
"192","cen-pk","SRR13577846.107404","nl","normalized","36-38","ref|NC_001145|","+",5614,15471,9858,0.912,"5'"
"193","cen-pk","SRR13577846.10742","nl","normalized","36-38","ref|NC_001146|","-",1,10321,10321,0.677,"3'"
"194","cen-pk","SRR13577846.107507","nl","normalized","36-38","ref|NC_001139|","+",1080948,1090940,9993,0.736,"3'"
"195","cen-pk","SRR13577846.107574","nl","normalized","36-38","ref|NC_001141|","-",104,8166,8063,0.504,"3'"
"196","cen-pk","SRR13577846.107635","nl","normalized","36-38","ref|NC_001147|","+",1083062,1091252,8191,0.516,"3'"
"197","cen-pk","SRR13577846.107650","nl","normalized","36-38","ref|NC_001146|","+",1,8350,8350,0.472,"5'"
"198","cen-pk","SRR13577846.107657","nl","normalized","36-38","ref|NC_001140|","-",39,7530,7492,0.445,"3'"
"199","cen-pk","SRR13577846.107824","nl","normalized","36-38","ref|NC_001145|","+",5598,14408,8811,1.018,"5'"
"200","cen-pk","SRR13577846.10799","nl","normalized","36-38","ref|NC_001142|","-",96,9617,9522,0.51,"3'"
"201","cen-pk","SRR13577846.108012","nl","normalized","36-38","ref|NC_001136|","+",191,8282,8092,0.518,"5'"
"202","cen-pk","SRR13577846.108029","nl","normalized","36-38","ref|NC_001140|","-",550244,556823,6580,0.73,"5'"
"203","cen-pk","SRR13577846.108038","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.66,"5'"
"204","cen-pk","SRR13577846.108046","nl","normalized","36-38","ref|NC_001144|","+",1070172,1078177,8006,0.654,"3'"
"205","cen-pk","SRR13577846.108071","nl","normalized","36-38","ref|NC_001147|","-",1081020,1091273,10254,0.566,"5'"
"206","cen-pk","SRR13577846.108080","nl","normalized","36-38","ref|NC_001147|","+",1082737,1091269,8533,0.636,"3'"
"207","cen-pk","SRR13577846.108177","nl","normalized","36-38","ref|NC_001147|","+",1082815,1091259,8445,0.606,"3'"
"208","cen-pk","SRR13577846.108221","nl","normalized","36-38","ref|NC_001146|","+",1,10968,10968,0.572,"5'"
"209","cen-pk","SRR13577846.108254","nl","normalized","36-38","ref|NC_001146|","-",1,7862,7862,0.49,"3'"
"210","cen-pk","SRR13577846.108273","nl","normalized","36-38","ref|NC_001144|","+",1063866,1071618,7753,0.841,"3'"
"211","cen-pk","SRR13577846.10828","nl","normalized","36-38","ref|NC_001136|","-",1515793,1525334,9542,0.448,"5'"
"212","cen-pk","SRR13577846.108333","nl","normalized","36-38","ref|NC_001145|","+",5610,15390,9781,0.718,"5'"
"213","cen-pk","SRR13577846.108407","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.703,"3'"
"214","cen-pk","SRR13577846.108418","nl","normalized","36-38","ref|NC_001134|","+",803990,813124,9135,0.581,"3'"
"215","cen-pk","SRR13577846.108420","nl","normalized","36-38","ref|NC_001141|","-",108,8166,8059,0.273,"3'"
"216","cen-pk","SRR13577846.108501","nl","normalized","36-38","ref|NC_001138|","-",1,7566,7566,0.736,"3'"
"217","cen-pk","SRR13577846.108567","nl","normalized","36-38","ref|NC_001142|","+",121,8030,7910,0.542,"5'"
"218","cen-pk","SRR13577846.108569","nl","normalized","36-38","ref|NC_001141|","-",97,8166,8070,0.598,"3'"
"219","cen-pk","SRR13577846.108577","nl","normalized","36-38","ref|NC_001144|","-",99,7382,7284,0.949,"3'"
"220","cen-pk","SRR13577846.108688","nl","normalized","36-38","ref|NC_001144|","+",100,7269,7170,0.83,"5'"
"221","cen-pk","SRR13577846.108732","nl","normalized","36-38","ref|NC_001140|","-",554308,562431,8124,0.66,"5'"
"222","cen-pk","SRR13577846.108831","nl","normalized","36-38","ref|NC_001141|","-",1,8583,8583,0.072,"3'"
"223","cen-pk","SRR13577846.108870","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.715,"3'"
"224","cen-pk","SRR13577846.109018","nl","normalized","36-38","ref|NC_001145|","-",70,1412,1343,0.793,"3'"
"225","cen-pk","SRR13577846.109035","nl","normalized","36-38","ref|NC_001135|","-",379,8293,7915,0.819,"3'"
"226","cen-pk","SRR13577846.109082","nl","normalized","36-38","ref|NC_001144|","-",100,8580,8481,0.733,"3'"
"227","cen-pk","SRR13577846.109125","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.53,"5'"
"228","cen-pk","SRR13577846.109197","nl","normalized","36-38","ref|NC_001134|","+",1,9199,9199,1.248,"5'"
"229","cen-pk","SRR13577846.109301","nl","normalized","36-38","ref|NC_001144|","+",1062082,1071612,9531,0.659,"3'"
"230","cen-pk","SRR13577846.109303","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.566,"5'"
"231","cen-pk","SRR13577846.109316","nl","normalized","36-38","ref|NC_001134|","-",804427,813111,8685,0.612,"5'"
"232","cen-pk","SRR13577846.109342","nl","normalized","36-38","ref|NC_001141|","+",103,6948,6846,0.648,"5'"
